Elementary_School,Elementary_Borough,Elementary_SchoolDigger_Rank,Elementary_Total_Schools,Middle_School,Middle_Borough,Middle_SchoolDigger_Rank,Middle_Total_Schools,Elementary_School_Type,Middle_School_Type,Elementary_Address,Middle_Address,Overlap_Area
P.S. 221 The North Hills School,Queens,202.0,2445,J.H.S. 074 Nathaniel Hawthorne,Queens,69.0,1504,Elementary,Junior High-Intermediate-Middle,"57-40 MARATHON PARKWAY, QUEENS, NY 11362","61-15 Oceania Street, Queens, NY 11364",2.25644840482978e-06
P.S. 101 School in the Gardens,Queens,79.0,2445,J.H.S. 157 Stephen A. Halsey,Queens,192.0,1504,Elementary,Junior High-Intermediate-Middle,"2 RUSSELL PLACE, QUEENS, NY 11375","63-55 102 Street, Queens, NY 11374",4.988483006651192e-09
P.S. 163 Bath Beach,Brooklyn,153.0,2445,P.S. 163 Bath Beach,Brooklyn,123.0,1504,K-8,K-8,"109 Bay 14 Street, Brooklyn, NY 11214","109 Bay 14 Street, Brooklyn, NY 11214",4.943666892532862e-05
P.S. 144 Col Jeromus Remsen,Queens,129.0,2445,P.S./I.S. 113 Anthony J. Pranzo,Queens,153.0,1504,Elementary,K-8,"69-20 JUNO STREET, QUEENS, NY 11375","78-23 87 Street, Queens, NY 11385",2.5966431197410194e-12
P.S. 221 The North Hills School,Queens,202.0,2445,J.H.S. 067 Louis Pasteur,Queens,83.0,1504,Elementary,Junior High-Intermediate-Middle,"57-40 MARATHON PARKWAY, QUEENS, NY 11362","51-60 MARATHON PARKWAY, QUEENS, NY 11362",0.0002697794278925501
P.S. 050 Frank Hankinson,Staten Island,74.0,2445,I.S. 024 Myra S. Barnes,Staten Island,212.0,1504,Elementary,Junior High-Intermediate-Middle,"200 ADELAIDE AVENUE, STATEN ISLAND, NY 10306","750 DURANT AVENUE, STATEN ISLAND, NY 10308",0.0002531890471045701
P.S. 050 Frank Hankinson,Staten Island,74.0,2445,I.S. 024 Myra S. Barnes,Staten Island,212.0,1504,Elementary,Junior High-Intermediate-Middle,"200 ADELAIDE AVENUE, STATEN ISLAND, NY 10306","750 DURANT AVENUE, STATEN ISLAND, NY 10308",2.14560831324303e-05
Battery Park City School,Manhattan,168.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,K-8,Junior High-Intermediate-Middle,"55 BATTERY PLACE, MANHATTAN, NY 10280","330 EAST 21 STREET, MANHATTAN, NY 10010",1.2408092495953817e-07
P.S. 040 Augustus Saint-Gaudens,Manhattan,170.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"320 EAST 20 STREET, MANHATTAN, NY 10003","330 EAST 21 STREET, MANHATTAN, NY 10010",8.058884714760709e-05
P.S. 188 Kingsbury,Queens,61.0,2445,Irwin Altman Middle School 172,Queens,231.0,1504,Elementary,Junior High-Intermediate-Middle,"218-12 HARTLAND AVENUE, QUEENS, NY 11364","81-14 257 Street, Queens, NY 11004",0.0001467094799581763
