Elementary_School,Elementary_Borough,Elementary_SchoolDigger_Rank,Elementary_Total_Schools,Middle_School,Middle_Borough,Middle_SchoolDigger_Rank,Middle_Total_Schools,Elementary_School_Type,Middle_School_Type,Elementary_Address,Middle_Address,Overlap_Area
Milton Fein School,Bronx,599.0,2445,P.S. 095 Sheila Mencher,Bronx,1219.0,1504,Elementary,K-8,"3201 KINGSBRIDGE AVENUE, BRONX, NY 10463","3961 HILLMAN AVENUE, BRONX, NY 10463",9.872303281242627e-09
P.S. 153 Homecrest,Brooklyn,1524.0,2445,J.H.S. 234 Arthur W. Cunningham,Brooklyn,307.0,1504,Elementary,Junior High-Intermediate-Middle,"1970 HOMECREST AVENUE, BROOKLYN, NY 11229","1875 EAST 17 STREET, BROOKLYN, NY 11229",2.919843656671959e-07
P.S. 153 Homecrest,Brooklyn,1524.0,2445,J.H.S. 234 Arthur W. Cunningham,Brooklyn,307.0,1504,Elementary,Junior High-Intermediate-Middle,"1970 HOMECREST AVENUE, BROOKLYN, NY 11229","1875 EAST 17 STREET, BROOKLYN, NY 11229",8.752277436870571e-05
P.S. 121 Nelson A. Rockefeller,Brooklyn,853.0,2445,P.S. 099 Isaac Asimov,Brooklyn,981.0,1504,K-8,K-8,"5301 20 Avenue, Brooklyn, NY 11204","1120 EAST 10 STREET, BROOKLYN, NY 11230",2.2273417058287865e-09
P.S. 124 Osmond A Church,Queens,1328.0,2445,M.S. 137 America's School of Heroes,Queens,508.0,1504,K-8,Junior High-Intermediate-Middle,"129-15 150 Avenue, Queens, NY 11420","109-15 98 STREET, QUEENS, NY 11417",1.8045584734375124e-21
P.S. 029 Queens,Queens,1523.0,2445,J.H.S. 194 William Carr,Queens,314.0,1504,Elementary,Junior High-Intermediate-Middle,"125-10 23 AVENUE, QUEENS, NY 11356","154-60 17 AVENUE, QUEENS, NY 11357",6.581821304749328e-06
P.S. 226 Alfred De B. Mason,Brooklyn,1155.0,2445,I.S. 096 Seth Low,Brooklyn,690.0,1504,K-8,Junior High-Intermediate-Middle,"6006 23 AVENUE, BROOKLYN, NY 11204","99 AVENUE P, BROOKLYN, NY 11204",1.7944282026037295e-08
P.S. 226 Alfred De B. Mason,Brooklyn,1155.0,2445,I.S. 096 Seth Low,Brooklyn,690.0,1504,K-8,Junior High-Intermediate-Middle,"6006 23 AVENUE, BROOKLYN, NY 11204","99 AVENUE P, BROOKLYN, NY 11204",8.717075232158832e-13
The Queens School for Leadership and Excellence,Queens,1177.0,2445,M.S. 358,Queens,669.0,1504,Elementary,Junior High-Intermediate-Middle,"88-08 164 Street, Queens, NY 11432","88-08 164 Street, Queens, NY 11432",4.258733938954532e-05
The Stephanie A. Vierno School,Staten Island,1248.0,2445,I.S. R002 George L. Egbert,Staten Island,599.0,1504,Elementary,Junior High-Intermediate-Middle,"216 Clawson Street, Staten Island, NY 10306","333 Midland Avenue, Staten Island, NY 10306",0.0003386379542579844
P.S. 206 Joseph F Lamb,Brooklyn,953.0,2445,P.S. K225 - The Eileen E. Zaglin,Brooklyn,894.0,1504,K-8,K-8,"2200 GRAVESEND NECK ROAD, BROOKLYN, NY 11229","1075 OCEAN VIEW AVENUE, BROOKLYN, NY 11235",6.476229783937762e-14
P.S. 208 Elsa Ebeling,Brooklyn,553.0,2445,M.S. 246 Walt Whitman,Brooklyn,1296.0,1504,Elementary,Junior High-Intermediate-Middle,"4801 AVENUE D, BROOKLYN, NY 11203","72 Veronica Place, Brooklyn, NY 11226",5.686120470758731e-10
The Fresh Creek School,Brooklyn,575.0,2445,I.S. 068 Isaac Bildersee,Brooklyn,1274.0,1504,Elementary,Junior High-Intermediate-Middle,"875 Williams Avenue, Brooklyn, NY 11207","956 EAST 82 STREET, BROOKLYN, NY 11236",2.622050943399567e-09
The Fresh Creek School,Brooklyn,575.0,2445,I.S. 068 Isaac Bildersee,Brooklyn,1274.0,1504,Elementary,Junior High-Intermediate-Middle,"875 Williams Avenue, Brooklyn, NY 11207","956 EAST 82 STREET, BROOKLYN, NY 11236",1.2722053035518126e-15
P.S. 154 Queens,Queens,698.0,2445,I.S. 250 The Robert F. Kennedy Community Middle School,Queens,1154.0,1504,Elementary,Junior High-Intermediate-Middle,"75-02 162 Street, Queens, NY 11366","158-40 76 ROAD, QUEENS, NY 11366",0.00015786932819075004
P.S. 65 - The Raymond York Elementary School,Queens,1298.0,2445,J.H.S. 202 Robert H. Goddard,Queens,554.0,1504,Elementary,Junior High-Intermediate-Middle,"103-22 99 STREET, QUEENS, NY 11417","138-30 LAFAYETTE STREET, QUEENS, NY 11417",4.194117451872027e-05
P.S. 206 The Horace Harding School,Queens,1471.0,2445,J.H.S. 190 Russell Sage,Queens,381.0,1504,Elementary,Junior High-Intermediate-Middle,"61-02 98 Street, Queens, NY 11374","68-17 AUSTIN STREET, QUEENS, NY 11375",1.5980196623227814e-05
P.S. 226 Alfred De B. Mason,Brooklyn,1155.0,2445,P.S. 226 Alfred De B. Mason,Brooklyn,705.0,1504,K-8,K-8,"6006 23 AVENUE, BROOKLYN, NY 11204","6006 23 AVENUE, BROOKLYN, NY 11204",6.630394398060177e-05
P.S. 207,Bronx,1382.0,2445,Riverdale / Kingsbridge Academy (Middle School / High School 141),Bronx,481.0,1504,Elementary,Secondary School,"3030 GODWIN TERRACE, BRONX, NY 10463","660 West 237 Street, Bronx, NY 10463",1.027400476623141e-05
P.S. 002 Alfred Zimberg,Queens,919.0,2445,I.S. 145 Joseph Pulitzer,Queens,947.0,1504,Elementary,Junior High-Intermediate-Middle,"75-10 21 Avenue, Queens, NY 11370","33-34 80 STREET, QUEENS, NY 11372",6.3782378307739e-13
P.S. 071 Forest,Queens,1397.0,2445,P.S./I.S. 087 Middle Village,Queens,469.0,1504,Elementary,K-8,"62-85 FOREST AVENUE, QUEENS, NY 11385","67-54 80 STREET, QUEENS, NY 11379",1.9197981177638676e-08
P.S. 235 Janice Marie Knight School,Brooklyn,976.0,2445,"The Middle School of Media, Law and Fine Arts",Brooklyn,890.0,1504,Elementary,Junior High-Intermediate-Middle,"525 LENOX ROAD, BROOKLYN, NY 11203","905 Winthrop Street, Brooklyn, NY 11203",3.180237465352295e-05
Waterside Children's Studio School,Queens,569.0,2445,P.S. 183 Dr. Richard R. Green,Queens,1302.0,1504,Elementary,K-8,"140 Beach 112 Street, Queens, NY 11694","2-45 BEACH 79 STREET, QUEENS, NY 11693",2.2603725275438655e-09
P.S. 235 Janice Marie Knight School,Brooklyn,976.0,2445,I.S. 285 Meyer Levin,Brooklyn,897.0,1504,Elementary,Junior High-Intermediate-Middle,"525 LENOX ROAD, BROOKLYN, NY 11203","5909 Beverly Road, Brooklyn, NY 11203",4.2866825695205943e-07
P.S. 276 Louis Marshall,Brooklyn,1126.0,2445,J.H.S. 078 Roy H. Mann,Brooklyn,748.0,1504,Elementary,Junior High-Intermediate-Middle,"1070 EAST 83 STREET, BROOKLYN, NY 11236","1420 East 68 Street, Brooklyn, NY 11234",2.69398654149197e-10
P.S. 161 The Crown,Brooklyn,1587.0,2445,The School of Integrated Learning,Brooklyn,289.0,1504,Elementary,Junior High-Intermediate-Middle,"330 CROWN STREET, BROOKLYN, NY 11225","1224 PARK PLACE, BROOKLYN, NY 11213",2.4634154299629844e-05
The Bellaire School,Queens,1650.0,2445,Irwin Altman Middle School 172,Queens,231.0,1504,Elementary,Junior High-Intermediate-Middle,"207-11 89 AVENUE, QUEENS, NY 11427","81-14 257 Street, Queens, NY 11004",2.5799409311513025e-11
P.S. 360,Bronx,838.0,2445,In-Tech Academy (M.S. / High School 368),Bronx,1049.0,1504,Elementary,Secondary School,"2880 KINGSBRIDGE TERRACE, BRONX, NY 10463","2975 TIBBETT AVENUE, BRONX, NY 10463",8.556227668855215e-12
P.S. 360,Bronx,838.0,2445,In-Tech Academy (M.S. / High School 368),Bronx,1049.0,1504,Elementary,Secondary School,"2880 KINGSBRIDGE TERRACE, BRONX, NY 10463","2975 TIBBETT AVENUE, BRONX, NY 10463",6.188290827470735e-06
P.S. 177 The Marlboro,Brooklyn,865.0,2445,P.S. 238 Anne Sullivan,Brooklyn,1027.0,1504,Elementary,K-8,"346 AVENUE P, BROOKLYN, NY 11204","1633 EAST 8 STREET, BROOKLYN, NY 11223",4.781031083514369e-08
P.S./I.S. 30 Mary White Ovington,Brooklyn,1295.0,2445,P.S./I.S. 30 Mary White Ovington,Brooklyn,597.0,1504,K-8,K-8,"7002 4 Avenue, Brooklyn, NY 11209","7002 4 Avenue, Brooklyn, NY 11209",4.703742938157204e-05
P.S. 39 Francis J. Murphy Jr.,Staten Island,636.0,2445,I.S. 49 Berta A. Dreyfus,Staten Island,1256.0,1504,Elementary,Junior High-Intermediate-Middle,"99 Macfarland Avenue, Staten Island, NY 10305","101 WARREN STREET, STATEN ISLAND, NY 10304",0.000319784063173584
P.S. 071 Forest,Queens,1397.0,2445,I.S. 73 - The Frank Sansivieri Intermediate School,Queens,496.0,1504,Elementary,Junior High-Intermediate-Middle,"62-85 FOREST AVENUE, QUEENS, NY 11385","70-02 54 AVENUE, QUEENS, NY 11378",1.2472489546212664e-16
P.S. 361 East Flatbush Early Childhood School,Brooklyn,1590.0,2445,J.H.S. 234 Arthur W. Cunningham,Brooklyn,307.0,1504,Elementary,Junior High-Intermediate-Middle,"1957 NOSTRAND AVENUE, BROOKLYN, NY 11210","1875 EAST 17 STREET, BROOKLYN, NY 11229",4.0119412866225765e-06
P.S. 208 Elsa Ebeling,Brooklyn,553.0,2445,Andries Hudde,Brooklyn,1344.0,1504,Elementary,Junior High-Intermediate-Middle,"4801 AVENUE D, BROOKLYN, NY 11203","2500 NOSTRAND AVENUE, BROOKLYN, NY 11210",3.182050197585447e-08
P.S. 060 Woodhaven,Queens,1136.0,2445,J.H.S. 210 Elizabeth Blackwell,Queens,768.0,1504,Elementary,Junior High-Intermediate-Middle,"91-02 88 AVENUE, QUEENS, NY 11421","93-11 101 AVENUE, QUEENS, NY 11416",9.414757256498753e-05
P.S. 153 Helen Keller,Bronx,926.0,2445,M.S. 180 Dr. Daniel Hale Williams,Bronx,980.0,1504,Elementary,Junior High-Intermediate-Middle,"650 BAYCHESTER AVENUE, BRONX, NY 10475","700 BAYCHESTER AVENUE, BRONX, NY 10475",8.778784320618854e-05
P.S. 152 Dyckman Valley,Manhattan,1760.0,2445,P.S./I.S. 187 Hudson Cliffs,Manhattan,147.0,1504,Elementary,K-8,"93 NAGLE AVENUE, MANHATTAN, NY 10040","349 Cabrini Boulevard, Manhattan, NY 10040",1.7023041933276463e-10
P.S. 114 Ryder Elementary,Brooklyn,1353.0,2445,I.S. 211 John Wilson,Brooklyn,555.0,1504,Elementary,Junior High-Intermediate-Middle,"1077 REMSEN AVENUE, BROOKLYN, NY 11236","1001 EAST 100 STREET, BROOKLYN, NY 11236",7.441046110722929e-05
P.S. 114 Ryder Elementary,Brooklyn,1353.0,2445,I.S. 211 John Wilson,Brooklyn,555.0,1504,Elementary,Junior High-Intermediate-Middle,"1077 REMSEN AVENUE, BROOKLYN, NY 11236","1001 EAST 100 STREET, BROOKLYN, NY 11236",8.949513624122252e-07
P.S. 254 - The Rosa Parks School,Queens,1400.0,2445,M.S. 137 America's School of Heroes,Queens,508.0,1504,Elementary,Junior High-Intermediate-Middle,"84-40 101 STREET, QUEENS, NY 11418","109-15 98 STREET, QUEENS, NY 11417",8.33880389770609e-12
P.S. 120 Queens,Queens,759.0,2445,I.S. 250 The Robert F. Kennedy Community Middle School,Queens,1154.0,1504,Elementary,Junior High-Intermediate-Middle,"58-01 136 STREET, QUEENS, NY 11355","158-40 76 ROAD, QUEENS, NY 11366",1.4033361969639337e-05
P.S. 206 Joseph F Lamb,Brooklyn,953.0,2445,J.H.S. 014 Shell Bank,Brooklyn,974.0,1504,K-8,Junior High-Intermediate-Middle,"2200 GRAVESEND NECK ROAD, BROOKLYN, NY 11229","2424 BATCHELDER STREET, BROOKLYN, NY 11235",1.1313154291613823e-10
P.S. 206 Joseph F Lamb,Brooklyn,953.0,2445,J.H.S. 014 Shell Bank,Brooklyn,974.0,1504,K-8,Junior High-Intermediate-Middle,"2200 GRAVESEND NECK ROAD, BROOKLYN, NY 11229","2424 BATCHELDER STREET, BROOKLYN, NY 11235",9.166527079646641e-05
P.S. 190 Sheffield,Brooklyn,484.0,2445,Van Siclen Community Middle School,Brooklyn,1453.0,1504,Elementary,Junior High-Intermediate-Middle,"590 SHEFFIELD AVENUE, BROOKLYN, NY 11207","800 VAN SICLEN AVE, BROOKLYN, NY 11207",3.103221196585679e-17
David N. Dinkins School,Queens,937.0,2445,J.H.S. 217 Robert A. Van Wyck,Queens,1002.0,1504,Elementary,Junior High-Intermediate-Middle,"108-29 155 STREET, QUEENS, NY 11433","85-05 144 STREET, QUEENS, NY 11435",1.3103111688783442e-06
P.S. 189 The Bilingual Center,Brooklyn,1231.0,2445,Middle School for Art and Philosophy,Brooklyn,710.0,1504,K-8,Junior High-Intermediate-Middle,"1100 EAST NEW YORK AVENUE, BROOKLYN, NY 11212","1084 Lenox Road, Brooklyn, NY 11212",1.5383318720476935e-09
P.S. 151 Mary D. Carter,Queens,1560.0,2445,I.S. 010 Horace Greeley,Queens,382.0,1504,Elementary,Junior High-Intermediate-Middle,"50-05 31 AVENUE, QUEENS, NY 11377","45-11 31 Avenue, Queens, NY 11103",0.0001250864332741263
P.S. 193 Gil Hodges,Brooklyn,1212.0,2445,J.H.S. 278 Marine Park,Brooklyn,732.0,1504,Elementary,Junior High-Intermediate-Middle,"2515 AVENUE L, BROOKLYN, NY 11210","1925 Stuart Street, Brooklyn, NY 11229",3.13835551861733e-08
P.S. 083 Donald Hertz,Bronx,1002.0,2445,J.H.S. 127 The Castle Hill,Bronx,943.0,1504,K-8,Junior High-Intermediate-Middle,"950 RHINELANDER AVENUE, BRONX, NY 10462","1551 Castle Hill Avenue, Bronx, NY 10462",2.7411084812412483e-10
P.S. 034 John Harvard,Queens,1185.0,2445,Jean Nuzzi Intermediate School,Queens,762.0,1504,Elementary,Junior High-Intermediate-Middle,"104-12 SPRINGFIELD BOULEVARD, QUEENS, NY 11429","213-10 92 AVENUE, QUEENS, NY 11428",0.00018054017828747273
P.S. 013 Clement C. Moore,Queens,748.0,2445,I.S. 061 Leonardo Da Vinci,Queens,1200.0,1504,Elementary,Junior High-Intermediate-Middle,"55-01 94 STREET, QUEENS, NY 11373","98-50 50 AVENUE, QUEENS, NY 11368",5.2406888459135756e-05
P.S. 106 Parkchester,Bronx,1455.0,2445,P.S./M.S. 194,Bronx,493.0,1504,Elementary,K-8,"1514 OLMSTEAD AVENUE, BRONX, NY 10462","2365 WATERBURY AVENUE, BRONX, NY 10462",2.3159179290847404e-10
P.S. 233 Langston Hughes,Brooklyn,1240.0,2445,Middle School for Art and Philosophy,Brooklyn,710.0,1504,Elementary,Junior High-Intermediate-Middle,"9301 AVENUE B, BROOKLYN, NY 11236","1084 Lenox Road, Brooklyn, NY 11212",1.484710615802305e-08
P.S. 153 Maspeth Elem,Queens,878.0,2445,I.S. 093 Ridgewood,Queens,1077.0,1504,Elementary,Junior High-Intermediate-Middle,"60-02 60 LANE, QUEENS, NY 11378","66-56 FOREST AVENUE, QUEENS, NY 11385",2.2628381241850115e-06
P.S. 045 John Tyler,Staten Island,1047.0,2445,I.S. 027 Anning S. Prall,Staten Island,909.0,1504,Elementary,Junior High-Intermediate-Middle,"58 LAWRENCE AVENUE, STATEN ISLAND, NY 10310","11 Clove Lake Place, Staten Island, NY 10310",0.00015225939795631774
P.S. 179 Kensington,Brooklyn,1395.0,2445,J.H.S. 062 Ditmas,Brooklyn,565.0,1504,Elementary,Junior High-Intermediate-Middle,"202 AVENUE C, BROOKLYN, NY 11218","700 Cortelyou Road, Brooklyn, NY 11218",5.707556483696991e-09
P.S. 179 Kensington,Brooklyn,1395.0,2445,J.H.S. 062 Ditmas,Brooklyn,565.0,1504,Elementary,Junior High-Intermediate-Middle,"202 AVENUE C, BROOKLYN, NY 11218","700 Cortelyou Road, Brooklyn, NY 11218",5.8361999878248644e-05
P.S. 179 Kensington,Brooklyn,1395.0,2445,J.H.S. 062 Ditmas,Brooklyn,565.0,1504,Elementary,Junior High-Intermediate-Middle,"202 AVENUE C, BROOKLYN, NY 11218","700 Cortelyou Road, Brooklyn, NY 11218",8.536632645147006e-08
P.S. 140 Edward K Ellington,Queens,969.0,2445,I.S. 238 - Susan B. Anthony Academy,Queens,992.0,1504,Elementary,Junior High-Intermediate-Middle,"166-01 116 AVENUE, QUEENS, NY 11434","88-15 182 Street, Queens, NY 11423",3.027915367385296e-13
P.S. 506: The School of Journalism & Technology,Brooklyn,1771.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"330 59 Street, Brooklyn, NY 11220","4812 9 Avenue, Brooklyn, NY 11220",1.1935228179150889e-05
P.S. 051 Elias Howe,Manhattan,1078.0,2445,M.S. 297,Manhattan,885.0,1504,Elementary,Junior High-Intermediate-Middle,"525 West 44 Street, Manhattan, NY 10036","75 MORTON STREET, MANHATTAN, NY 10014",0.0002471450276217946
P.S. 192 Jacob H. Schiff,Manhattan,514.0,2445,Harold O. Levy School,Manhattan,1452.0,1504,Elementary,Junior High-Intermediate-Middle,"500 WEST 138 STREET, MANHATTAN, NY 10031","650 ACADEMY STREET, MANHATTAN, NY 10034",6.752125297416938e-05
P.S. 206 The Horace Harding School,Queens,1471.0,2445,I.S. 73 - The Frank Sansivieri Intermediate School,Queens,496.0,1504,Elementary,Junior High-Intermediate-Middle,"61-02 98 Street, Queens, NY 11374","70-02 54 AVENUE, QUEENS, NY 11378",5.931745411024559e-10
P.S. 035 Nathaniel Woodhull,Queens,1217.0,2445,Jean Nuzzi Intermediate School,Queens,762.0,1504,Elementary,Junior High-Intermediate-Middle,"90-01 191 Street, Queens, NY 11423","213-10 92 AVENUE, QUEENS, NY 11428",7.707205665911284e-06
P.S. 064 Joseph P. Addabbo,Queens,1426.0,2445,J.H.S. 202 Robert H. Goddard,Queens,554.0,1504,Elementary,Junior High-Intermediate-Middle,"82-01 101 AVENUE, QUEENS, NY 11416","138-30 LAFAYETTE STREET, QUEENS, NY 11417",1.0433923992998922e-12
P.S. 076 The Bennington School,Bronx,1384.0,2445,P.S. 089 Bronx,Bronx,603.0,1504,Elementary,K-8,"900 ADEE AVENUE, BRONX, NY 10469","980 MACE AVENUE, BRONX, NY 10469",1.562837131396812e-08
P.S. 029 Bardwell,Staten Island,736.0,2445,I.S. 49 Berta A. Dreyfus,Staten Island,1256.0,1504,Elementary,Junior High-Intermediate-Middle,"1581 Victory Boulevard, Staten Island, NY 10314","101 WARREN STREET, STATEN ISLAND, NY 10304",6.758542718590947e-06
P.S./ IS 178 Holliswood,Queens,1006.0,2445,I.S. 238 - Susan B. Anthony Academy,Queens,992.0,1504,K-8,Junior High-Intermediate-Middle,"189-10 RADNOR ROAD, QUEENS, NY 11423","88-15 182 Street, Queens, NY 11423",3.42011534620029e-06
P.S. 068 Cambridge,Queens,1811.0,2445,P.S./I.S. 119 The Glendale,Queens,198.0,1504,Elementary,K-8,"59-09 SAINT FELIX AVENUE, QUEENS, NY 11385","74-01 78 AVENUE, QUEENS, NY 11385",3.628928745774405e-15
P.S. 276 Louis Marshall,Brooklyn,1126.0,2445,I.S. 285 Meyer Levin,Brooklyn,897.0,1504,Elementary,Junior High-Intermediate-Middle,"1070 EAST 83 STREET, BROOKLYN, NY 11236","5909 Beverly Road, Brooklyn, NY 11203",8.97893817829349e-10
P.S. 099 Isaac Asimov,Brooklyn,1628.0,2445,P.S. 121 Nelson A. Rockefeller,Brooklyn,397.0,1504,K-8,K-8,"1120 EAST 10 STREET, BROOKLYN, NY 11230","5301 20 Avenue, Brooklyn, NY 11204",8.109642825105228e-10
P.S. 215 Morris H. Weiss,Brooklyn,998.0,2445,P.S. 238 Anne Sullivan,Brooklyn,1027.0,1504,Elementary,K-8,"415 AVENUE S, BROOKLYN, NY 11223","1633 EAST 8 STREET, BROOKLYN, NY 11223",1.4159682332717745e-08
P.S. 071 Rose E. Scala,Bronx,1045.0,2445,M.S. 180 Dr. Daniel Hale Williams,Bronx,980.0,1504,K-8,Junior High-Intermediate-Middle,"3040 ROBERTS AVENUE, BRONX, NY 10461","700 BAYCHESTER AVENUE, BRONX, NY 10475",1.4133641772345956e-09
P.S. 063 Old South,Queens,755.0,2445,J.H.S. 218 James P. Sinnott,Brooklyn,1271.0,1504,Elementary,Junior High-Intermediate-Middle,"90-15 SUTTER AVENUE, QUEENS, NY 11417","370 Fountain Avenue, Brooklyn, NY 11208",8.307840232826521e-12
The Fresh Creek School,Brooklyn,575.0,2445,Van Siclen Community Middle School,Brooklyn,1453.0,1504,Elementary,Junior High-Intermediate-Middle,"875 Williams Avenue, Brooklyn, NY 11207","800 VAN SICLEN AVE, BROOKLYN, NY 11207",5.484441635421956e-05
P.S. 090 Horace Mann,Queens,1521.0,2445,M.S. 137 America's School of Heroes,Queens,508.0,1504,Elementary,Junior High-Intermediate-Middle,"86-50 109 Street, Queens, NY 11418","109-15 98 STREET, QUEENS, NY 11417",9.682074070308745e-05
P.S. 036 Unionport,Bronx,1542.0,2445,P.S./M.S. 194,Bronx,493.0,1504,Elementary,K-8,"1070 Castle Hill Avenue, Bronx, NY 10472","2365 WATERBURY AVENUE, BRONX, NY 10462",8.96061125139222e-09
P.S. 038 George Cromwell,Staten Island,1438.0,2445,I.S. R002 George L. Egbert,Staten Island,599.0,1504,Elementary,Junior High-Intermediate-Middle,"421 Lincoln Avenue, Staten Island, NY 10306","333 Midland Avenue, Staten Island, NY 10306",0.00023816961048328222
P.S. 013 M. L. Lindemeyer,Staten Island,782.0,2445,I.S. 49 Berta A. Dreyfus,Staten Island,1256.0,1504,Elementary,Junior High-Intermediate-Middle,"191 VERMONT AVENUE, STATEN ISLAND, NY 10305","101 WARREN STREET, STATEN ISLAND, NY 10304",0.00023735117548702773
P.S. 178 - Dr. Selman Waksman,Bronx,1698.0,2445,I.S. 181 Pablo Casals,Bronx,340.0,1504,Elementary,Junior High-Intermediate-Middle,"850 BAYCHESTER AVENUE, BRONX, NY 10475","800 BAYCHESTER AVENUE, BRONX, NY 10475",9.796160568830354e-05
P.S. 291,Bronx,1222.0,2445,The New School for Leadership and Journalism,Bronx,819.0,1504,Elementary,Junior High-Intermediate-Middle,"2195 ANDREWS AVENUE, BRONX, NY 10453","120 WEST 231 STREET, BRONX, NY 10463",3.659532024391153e-10
P.S. 197 - The Kings Highway Academy,Brooklyn,1067.0,2445,J.H.S. 014 Shell Bank,Brooklyn,974.0,1504,Elementary,Junior High-Intermediate-Middle,"1599 EAST 22 STREET, BROOKLYN, NY 11210","2424 BATCHELDER STREET, BROOKLYN, NY 11235",5.342057243176211e-10
P.S. 232 Lindenwood,Queens,1487.0,2445,J.H.S. 202 Robert H. Goddard,Queens,554.0,1504,K-8,Junior High-Intermediate-Middle,"153-23 83 STREET, QUEENS, NY 11414","138-30 LAFAYETTE STREET, QUEENS, NY 11417",0.00014728036529897327
P.S. 235 Janice Marie Knight School,Brooklyn,976.0,2445,Parkside Preparatory Academy,Brooklyn,1072.0,1504,Elementary,Junior High-Intermediate-Middle,"525 LENOX ROAD, BROOKLYN, NY 11203","655 Parkside Avenue, Brooklyn, NY 11226",2.4215237028241026e-09
East Elmhurst Community School,Queens,1707.0,2445,I.S. 141 The Steinway,Queens,350.0,1504,Elementary,Junior High-Intermediate-Middle,"26-25 97 Street, Queens, NY 11369","37-11 21 AVENUE, QUEENS, NY 11105",2.491710711704604e-07
P.S. 360,Bronx,838.0,2445,P.S. 095 Sheila Mencher,Bronx,1219.0,1504,Elementary,K-8,"2880 KINGSBRIDGE TERRACE, BRONX, NY 10463","3961 HILLMAN AVENUE, BRONX, NY 10463",7.0752314846770325e-06
P.S. 097 Forest Park,Queens,1289.0,2445,J.H.S. 210 Elizabeth Blackwell,Queens,768.0,1504,Elementary,Junior High-Intermediate-Middle,"85-52 85 STREET, QUEENS, NY 11421","93-11 101 AVENUE, QUEENS, NY 11416",4.966339948119202e-05
P.S. 360,Bronx,838.0,2445,P.S. 095 Sheila Mencher,Bronx,1219.0,1504,Elementary,K-8,"2880 KINGSBRIDGE TERRACE, BRONX, NY 10463","3961 HILLMAN AVENUE, BRONX, NY 10463",5.210600728623712e-06
P.S. 175 The Lynn Gross Discovery School,Queens,920.0,2445,I.S. 250 The Robert F. Kennedy Community Middle School,Queens,1154.0,1504,Elementary,Junior High-Intermediate-Middle,"64-35 102 STREET, QUEENS, NY 11374","158-40 76 ROAD, QUEENS, NY 11366",6.0242246120358186e-12
P.S. 090 Horace Mann,Queens,1521.0,2445,J.H.S. 202 Robert H. Goddard,Queens,554.0,1504,Elementary,Junior High-Intermediate-Middle,"86-50 109 Street, Queens, NY 11418","138-30 LAFAYETTE STREET, QUEENS, NY 11417",2.575458992968876e-13
Young Voices Academy of the Bronx,Bronx,1418.0,2445,P.S. 083 Donald Hertz,Bronx,659.0,1504,Elementary,K-8,"800 LYDIG AVENUE, BRONX, NY 10462","950 RHINELANDER AVENUE, BRONX, NY 10462",2.534761974777206e-08
Sunset Park Avenues Elementary School,Brooklyn,1887.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"4308 4 Avenue, Brooklyn, NY 11232","4812 9 Avenue, Brooklyn, NY 11220",4.706378370535296e-06
P.S. 235 Janice Marie Knight School,Brooklyn,976.0,2445,M.S. 061 Dr. Gladstone H. Atwell,Brooklyn,1104.0,1504,Elementary,Junior High-Intermediate-Middle,"525 LENOX ROAD, BROOKLYN, NY 11203","400 EMPIRE BOULEVARD, BROOKLYN, NY 11225",1.8070269721816816e-05
P.S. 235 Janice Marie Knight School,Brooklyn,976.0,2445,M.S. 061 Dr. Gladstone H. Atwell,Brooklyn,1104.0,1504,Elementary,Junior High-Intermediate-Middle,"525 LENOX ROAD, BROOKLYN, NY 11203","400 EMPIRE BOULEVARD, BROOKLYN, NY 11225",4.658121216948931e-10
P.S. 033 Edward M. Funk,Queens,1332.0,2445,Jean Nuzzi Intermediate School,Queens,762.0,1504,Elementary,Junior High-Intermediate-Middle,"91-37 222 STREET, QUEENS, NY 11428","213-10 92 AVENUE, QUEENS, NY 11428",0.0002542256957964784
P.S. 197 - The Kings Highway Academy,Brooklyn,1067.0,2445,P.S. 238 Anne Sullivan,Brooklyn,1027.0,1504,Elementary,K-8,"1599 EAST 22 STREET, BROOKLYN, NY 11210","1633 EAST 8 STREET, BROOKLYN, NY 11223",2.3072241901496375e-09
P.S. 312 Bergen Beach,Brooklyn,821.0,2445,I.S. 068 Isaac Bildersee,Brooklyn,1274.0,1504,Elementary,Junior High-Intermediate-Middle,"7103 Avenue T, Brooklyn, NY 11234","956 EAST 82 STREET, BROOKLYN, NY 11236",2.0761072172861783e-05
P.S. 052 Sheepshead Bay,Brooklyn,1368.0,2445,J.H.S. 278 Marine Park,Brooklyn,732.0,1504,Elementary,Junior High-Intermediate-Middle,"2675 EAST 29 STREET, BROOKLYN, NY 11235","1925 Stuart Street, Brooklyn, NY 11229",2.226179143662819e-06
P.S. 111 Adolph S. Ochs,Manhattan,1224.0,2445,M.S. 297,Manhattan,885.0,1504,Elementary,Junior High-Intermediate-Middle,"440 WEST 53 STREET, MANHATTAN, NY 10019","75 MORTON STREET, MANHATTAN, NY 10014",0.0001947847641400237
P.S. 117 J. Keld / Briarwood School,Queens,1108.0,2445,J.H.S. 217 Robert A. Van Wyck,Queens,1002.0,1504,Elementary,Junior High-Intermediate-Middle,"85-15 143 STREET, QUEENS, NY 11435","85-05 144 STREET, QUEENS, NY 11435",0.00018060472677573858
