ATS System Code,Location Name,Location Category Description,Borough,Full Address,Zoned Elementary,Zoned Middle,Zoned High
84M358,Success Academy Charter School - Hudson Yards,Elementary,Manhattan,"500 West 41 Street, MANHATTAN, NY 10036",No,No,No
84M373,Zeta Charter Schools - Inwood,Elementary,Manhattan,"401 West 218 Street, Manhattan, NY 10034",No,No,No
84M380,Harlem Village Academy West Charter School,Elementary,Manhattan,"74 WEST 124 STREET, MANHATTAN, NY 10027",No,No,No
84M382,DREAM Charter School East Harlem,K-12 all grades,New York,"1991 SECOND AVENUE, NEW YORK, NY 10029",No,No,No
84M383,Storefront Academy Harlem Charter School,Elementary,New York,"439 East 115 Street, New York, NY 10029",No,No,No
84M384,Success Academy Charter School - Harlem 2,K-8,Manhattan,"144-176 EAST 128 STREET, MANHATTAN, NY 10035",No,No,No
84M385,Success Academy Charter School - Harlem 3,K-12 all grades,Manhattan,"410 EAST 100 STREET, MANHATTAN, NY 10029",No,No,No
84M386,Success Academy Charter School - Harlem 4,Elementary,Manhattan,"240 WEST 113 STREET, MANHATTAN, NY 10026",No,No,No
84M387,American Dream Charter School II,Elementary,Manhattan,"652 West 187 Street, Manhattan, NY 10033",No,No,No
84M388,St. HOPE Leadership Academy Charter School,Junior High-Intermediate-Middle,Manhattan,"222 WEST 134 STREET, MANHATTAN, NY 10030",No,No,No
84M389,KIPP Beyond Charter School,Secondary School,Manhattan,"535 WEST 121 STREET, MANHATTAN, NY 10027",No,No,No
84M390,Amber Charter School Inwood,Elementary,Manhattan,"532 WEST 215 STREET, MANHATTAN, NY 10034",No,No,No
84M424,Urban Dove Team Charter School IV,High school,Manhattan,"230 East 123 Street, Manhattan, NY 10035",No,No,No
84M430,The Equity Project Charter School,K-8,Manhattan,"153 SHERMAN AVENUE, MANHATTAN, NY 10034",No,No,No
84M433,Innovation Charter High School,High school,Manhattan,"410 EAST 100 STREET, MANHATTAN, NY 10029",No,No,No
84M478,Inwood Academy for Leadership Charter School,Secondary School,Manhattan,"3896 10 Avenue, Manhattan, NY 10034",No,No,No
84M481,Democracy Preparatory Harlem Charter School,K-12 all grades,Manhattan,"207 West 133 Street, Manhattan, NY 10030",No,No,No
84M482,Success Academy Charter School - Harlem 5,K-8,Manhattan,"301 WEST 140 STREET, MANHATTAN, NY 10030",No,No,No
84M483,New York French-American Charter School,K-8,Manhattan,"311 West 120 Street, Manhattan, NY 10027",No,No,No
84M518,East Harlem Scholars Academy Charter School,K-12 all grades,Manhattan,"2050 Second Avenue, MANHATTAN, NY 10029",No,No,No
84M522,Broome Street Academy Charter High School,High school,Manhattan,"121 AVENUE OF THE AMERICAS, MANHATTAN, NY 10013",No,No,No
84M523,Success Academy Charter School - Upper West,K-8,Manhattan,"145 WEST 84 STREET, MANHATTAN, NY 10024",No,No,No
84M702,Sisulu-Walker Charter School of Harlem,Elementary,Manhattan,"71-111 Convent Ave, Manhattan, NY 10027",No,No,No
84M704,Harbor Science and Arts Charter School,K-8,Manhattan,"132 EAST 111 STREET, MANHATTAN, NY 10029",No,No,No
84M705,Amber Charter School East Harlem,Elementary,Manhattan,"220 EAST 106 STREET, MANHATTAN, NY 10029",No,No,No
84M707,John V. Lindsay Wildcat Academy Charter School,High school,Manhattan,"17 BATTERY PLACE, MANHATTAN, NY 10004",No,No,No
84M708,Harlem Prep Charter School,K-12 all grades,Manhattan,"240 EAST 123 STREET, MANHATTAN, NY 10035",No,No,No
84M709,Harlem Village Academy North Charter School,K-12 all grades,Manhattan,"244 WEST 144 STREET, MANHATTAN, NY 10030",No,No,No
84M726,KIPP S.T.A.R. College Preparatory Charter School,K-12 all grades,Manhattan,"625 West 133 Street, Manhattan, NY 10027",No,No,No
84M861,Future Leaders Institute Charter School,K-8,Manhattan,"134 WEST 122 STREET, MANHATTAN, NY 10027",No,No,No
84Q083,Central Queens Academy Charter School,Junior High-Intermediate-Middle,Queens,"88-14 Justice Avenue, Queens, NY 11373",No,No,No
84Q170,Peninsula Preparatory Academy Charter School,Elementary,Queens,"611 BEACH 19 STREET, QUEENS, NY 11691",No,No,No
84Q298,Middle Village Preparatory Charter School,Junior High-Intermediate-Middle,Queens,"68-02 METROPOLITAN AVENUE, QUEENS, NY 11379",No,No,No
84Q304,VOICE Charter School of New York,K-8,Queens,"36-24 12 Street, Queens, NY 11106",No,No,No
84Q320,United Charter High School for Advanced Math and Science lV,High school,Queens,"156-10 BAISLEY BOULEVARD, QUEENS, NY 11434",No,No,No
84Q321,Growing Up Green Charter School,K-8,Queens,"39-27 28 Street, Queens, NY 11101",No,No,No
84Q337,Success Academy Charter School - Rosedale,Elementary,Queens,"147-65 249 Street, Queens, NY 11422",No,No,No
84Q339,Success Academy Charter School - Springfield Gardens - New York 6,K-8,Queens,"132-55 RIDGEDALE STREET, QUEENS, NY 11413",No,No,No
84Q340,Challenge Preparatory Charter School,K-8,Queens,"710 HARTMAN LANE, QUEENS, NY 11691",No,No,No
84Q341,Riverton Street Charter School,K-8,Queens,"118-34 Riverton Street, Queens, NY 11412",No,No,No
84Q342,Rochdale Early Advantage Charter School,Elementary,Queens,"122-05 SMITH STREET, QUEENS, NY 11434",No,No,No
84Q359,Academy of the City Charter School,K-8,Queens,"31-29 60 Street, Queens, NY 11377",No,No,No
84Q372,Growing Up Green Charter School II,Elementary,Queens,"84-35 152 STREET, QUEENS, NY 11432",No,No,No
84Q373,United Charter High School for the Humanities lV,High school,Queens,"100-00 BEACH CHANNEL DRIVE, QUEENS, NY 11694",No,No,No
84Q374,Success Academy Charter School - South Jamaica,Elementary,Queens,"120-27 141 Street, Queens, NY 11436",No,No,No
84Q375,Success Academy Charter School - Far Rockaway,Elementary,Queens,"10-45 NAMEOKE STREET, QUEENS, NY 11691",No,No,No
84Q380,Forte Preparatory Academy Charter School,Junior High-Intermediate-Middle,Queens,"51-35 REEDER STREET, QUEENS, NY 11373",No,No,No
84Q385,Elm Community Charter School,Elementary,Queens,"79-17 51 Avenue, Queens, NY 11373",No,No,No
84Q386,Our World Neighborhood Charter School 2,Elementary,Queens,"135-25 79 Street, Queens, NY 11414",No,No,No
84Q387,Valence College Preparatory Charter School,Junior High-Intermediate-Middle,Queens,"97-29 64 Road, Queens, NY 11374",No,No,No
84Q388,New Dawn Charter High School II,High school,Queens,"89-25 161 Street, Queens, NY 11432",No,No,No
84Q414,Renaissance Charter School 2,K-12 all grades,Queens,"45-20 83 Street, Queens, NY 11373",No,No,No
84Q416,Achievement First Legacy Charter School,K-8,Queens,"118-49 MONTAUK STREET, QUEENS, NY 11412",No,No,No
84Q418,Our World Neighborhood Charter School 3,Elementary,Queens,"108-68 Roosevelt Avenue, Queens, NY 11368",No,No,No
84Q422,Success Academy Charter School - NYC 14,Ungraded,Queens,"158-20 101 Street, Queens, NY 11414",No,No,No
84Q423,Central Queens Academy Charter School II,Ungraded,Queens,"88-14 Justice Avenue, Queens, NY 11373",No,No,No
84Q428,Urban Dove Team Charter School III,High school,Queens,"31-20 37 Street, Queens, NY 11103",No,No,No
84Q433,Zeta Charter School – Queens Jamaica,K-12 all grades,Queens,"159-26 Jamaica Avenue, Queens, NY 11432",No,No,No
84Q434,Zeta Charter School – Queens Elmhurst,K-12 all grades,Queens,"55-30 JUNCTION BOULEVARD, QUEENS, NY 11373",No,No,No
84Q436,Zeta Charter School – Queens 2,K-12 all grades,Queens,"55-30 JUNCTION BOULEVARD, QUEENS, NY 11373",No,No,No
84Q704,Merrick Academy - Queens Public Charter School,Elementary,Queens,"136-25 218 STREET, QUEENS, NY 11413",No,No,No
84Q705,Renaissance Charter School,K-12 all grades,Queens,"35-59 81 Street, Queens, NY 11372",No,No,No
84Q706,Our World Neighborhood Charter School,K-8,Queens,"36-12 35 AVENUE, QUEENS, NY 11106",No,No,No
84R012,New Ventures Charter School,High school,Staten Island,"1441 South Avenue, Staten Is, NY 10314",No,No,No
84R067,John W. Lavelle Preparatory Charter School,K-12 all grades,Staten Island,"1441 South Avenue, Staten Is, NY 10314",No,No,No
84R070,Early College Charter School,Secondary School,Staten Island,"1441 South Avenue, Staten Is, NY 10314",No,No,No
84R073,New World Preparatory Charter School,K-8,Staten Island,"285 CLOVE ROAD, STATEN ISLAND, NY 10310",No,No,No
84R076,Bridge Preparatory Charter School,Elementary,Staten Island,"715 Ocean Terrace, Staten Island, NY 10301",No,No,No
84R077,Hellenic Classical Charter School - Staten Island,Elementary,Staten Island,"1641 Richmond Avenue, Staten Island, NY 10314",No,No,No
84R083,Richmond Preparatory Charter School,Secondary School,Staten Island,"2245 Richmond Avenue, Staten Is, NY 10314",No,No,No
84R088,Staten Island Hebrew Public Charter School,Elementary,Staten Island,"829 Father Capodanno Boulevard, Staten Is, NY 10305",No,No,No
84X124,Children's Aid College Preparatory Charter School,K-8,Bronx,"1919 PROSPECT AVENUE, BRONX, NY 10457",No,No,No
84X133,Icahn Charter School 6,K-8,Bronx,"1701 Fulton Avenue, Bronx, NY 10457",No,No,No
84X165,Grand Concourse Academy Charter School,K-8,Bronx,"625 BOLTON AVENUE, BRONX, NY 10473",No,No,No
84X177,Mott Hall Charter School,Junior High-Intermediate-Middle,Bronx,"1260 FRANKLIN AVENUE, BRONX, NY 10456",No,No,No
84X185,Pharos Academy Charter School,K-12 all grades,Bronx,"1001 Intervale Avenue, Bronx, NY 10459",No,No,No
84X202,United Charter High School for Advanced Math and Science ll,High school,Bronx,"900 TINTON AVENUE, BRONX, NY 10456",No,No,No
84X208,United Charter High School for the Humanities II,High school,Bronx,"900 TINTON AVENUE, BRONX, NY 10456",No,No,No
84X233,Family Life Academy Charter School II,K-8,Bronx,"296 EAST 140 STREET, BRONX, NY 10454",No,No,No
84X255,Bronx Charter School for Excellence,K-8,Bronx,"1960 BENEDICT AVENUE, BRONX, NY 10462",No,No,No
84X309,South Bronx Charter School for International Cultures and the Arts,K-8,Bronx,"164 bruckner boulevard, BRONX, NY 10454",No,No,No
84X345,Leaders In Our Neighborhood Charter School,K-12 all grades,Bronx,"730 BRYANT AVENUE, BRONX, NY 10474",No,No,No
84X346,South Bronx Classical Charter School,K-8,Bronx,"977 FOX STREET, BRONX, NY 10459",No,No,No
84X347,International Leadership Charter High School,High school,Bronx,"3030 Riverdale Avenue, Bronx, NY 10463",No,No,No
84X362,Icahn Charter School 7,K-8,Bronx,"1535 STORY AVENUE, BRONX, NY 10473",No,No,No
84X364,South Bronx Classical Charter School II,K-8,Bronx,"333 EAST 135 STREET, BRONX, NY 10454",No,No,No
84X378,Icahn Charter School 2,K-8,Bronx,"1640 BRONXDALE AVE, BRONX, NY 10462",No,No,No
