School Name,State Rank,Total Schools
Collegiate School,309,2445
Trinity School,310,2445
Saint Ann's School,311,2445
Horace Mann School,312,2445
Trevor Day School,313,2445
Brearley School (The),314,2445
Ethical Culture Fieldston School,315,2445
Little Red School House,316,2445
Rudolf Steiner School,317,2445
Hackley School,318,2445
Chapin School (The),319,2445
Convent Of The Sacred Heart,320,2445
Marymount School Of New York,321,2445
Nightingale-Bamford School,322,2445
Sacred Heart School,323,2445
Loyola School,324,2445
Regis High School,325,2445
Fordham Preparatory School,326,2445
Bronxville School,327,2445
Scarsdale High School,328,2445
Irvington High School,329,2445
Rye High School,330,2445
Port Chester Middle School,331,2445
Mamaroneck High School,332,2445
New Rochelle High School,333,2445
Yonkers High School,334,2445
Mount Vernon High School,335,2445
White Plains High School,336,2445
Eastchester High School,337,2445
Pelham High School,338,2445
Tuckahoe High School,339,2445
Greenburgh Central School District #2,340,2445
Ardsley High School,341,2445
Dobbs Ferry High School,342,2445
Tarrytown High School,343,2445
Sleepy Hollow High School,344,2445
Ossining High School,345,2445
Cortlandt High School,346,2445
Croton-Harmon High School,347,2445
Buchanan High School,348,2445
Peekskill High School,349,2445
Carmel High School,350,2445
Putnam Valley High School,351,2445
Mahopac High School,352,2445
Brewster High School,353,2445
Lakeland High School,354,2445
Palisades High School,355,2445
Tappan Zee High School,356,2445
Nyack High School,357,2445
Pearl River High School,358,2445
Nanuet High School,359,2445
Spring Valley High School,360,2445
Bardonia High School,361,2445
Suffern High School,362,2445
Sloatsburg High School,363,2445
Chester High School,364,2445
Monroe-Woodbury High School,365,2445
Goshen High School,366,2445
Warwick Valley High School,367,2445
Middletown High School,368,2445
Port Jervis High School,369,2445
Monticello High School,370,2445
Fallsburg High School,371,2445
Sullivan County BOCES,372,2445
Roscoe-Livingston-Hancock High School,373,2445
Livingston Manor High School,374,2445
Delhi High School,375,2445
Walton High School,376,2445
Sidney High School,377,2445
Greene High School,378,2445
Catskill High School,379,2445
Cairo-Durham High School,380,2445
Tannersville High School,381,2445
Kingston High School,382,2445
Port Ewen High School,383,2445
Rosendale High School,384,2445
Saugerties High School,385,2445
Woodstock High School,386,2445
Hurley High School,387,2445
Marlboro High School,388,2445
Highland High School,389,2445
Rhinecliff High School,390,2445
Rhinebeck High School,391,2445
Birchwood Elementary School,392,2445
Ps 222 Katherine R Snyder,393,2445
Hellenic Classical Charter School - Staten Island,394,2445
Ps 254 Dag Hammarskjold,395,2445
Parkway School,396,2445
Slingerlands Elementary School,397,2445
Ps 38 Pacific (The),398,2445
Lee Road School,399,2445
Ps 52 John C Thompson,400,2445
Westmoreland Upper Elementary School,401,2445
Albany Avenue Elementary School,402,2445
Meadow Pond Elementary School,403,2445
Charlton Heights Elementary School,404,2445
Academy Of Talented Scholars (The),405,2445
Winthrop Avenue School,406,2445
Harlem Village Academy East Charter School,407,2445
Ps 81 Robert J Christen,408,2445
Ps 128 Lorraine Tuzzo-Juniper Valley,409,2445
Academy Charter School-Uniondale,410,2445
Brooks Hill School,411,2445
Floral Park-Bellerose School,412,2445
Bedford Hills Elementary School,413,2445
Ps 18 Winchester,414,2445
Pine Bush Elementary School,415,2445
Ps 1 Tottenville,416,2445
Garden City Park School,417,2445
Ps 42 Eltingville,418,2445
Sanfordville Elementary School,419,2445
Ps 48 William G Wilcox,420,2445
Ps 102 Bayview,421,2445
Ps 69 Vincent D Grippo School,422,2445
Ps 770 New American Academy,423,2445
Pinehurst Elementary School,424,2445
School 4,425,2445
Benjamin Franklin Elementary School,426,2445
Fayetteville Elementary School,427,2445
Green Meadow School,428,2445
East Village Community School (The),429,2445
Ps 253,430,2445
Queens Explorers Elementary School,431,2445
Ps 333 Manhattan School For Children,432,2445
Keene Central School,433,2445
Ps 64 Frederick Law Olmsted,434,2445
Scribner Road Elementary School,435,2445
Red Mill School,436,2445
La Fargeville Central School,437,2445
Ps 268 Emma Lazarus,438,2445
Burns Avenue School,439,2445
Ps 32 State Street,440,2445
Ella Baker School,441,2445
James A Dever School,442,2445
African Road Elementary School,443,2445
Ps 96,444,2445
Waverly Park School,445,2445
Samuel J Preston School,446,2445
Ps 20 Clinton Hill,447,2445
Guilderland Elementary School,448,2445
Loudonville School,449,2445
Cornwall Elementary School,450,2445
Strawtown Elementary School,451,2445
Hillside School,452,2445
Academy Charter School,453,2445
Ps 155,454,2445
Frederick Carder Elementary School,455,2445
Lake Pleasant School,456,2445
Ps 165 Edith K Bergtraum,457,2445
Tackan Elementary School,458,2445
Raymond C Buckley Elementary School,459,2445
Ps 162 John Golden,460,2445
Ps 32 Samuel Mills Sprole,461,2445
Brooklyn Brownstone School,462,2445
Pines Elementary School,463,2445
John Street School,464,2445
Yorkville Community School,465,2445
C S Driver Middle School,466,2445
James H Boyd Elementary School,467,2445
Greenwood Lake Middle School,468,2445
Ps 748 Brooklyn School For Global Scholars,469,2445
Ps 110 Florence Nightingale,470,2445
Ps 181 Brookfield,471,2445
Pharos Academy Charter School,472,2445
Sag Harbor Elementary School,473,2445
Mandalay School,474,2445
Academy Of Arts And Letters,475,2445
Ps 184 Flushing Manor,476,2445
Ps 85 Judge Charles Vallone,477,2445
Wading River School,478,2445
Ps 6 Corporal Allan F Kivlehan School,479,2445
Camp Avenue School,480,2445
Hector Figueroa School (The),481,2445
South Davis Elementary School,482,2445
Paul J Bellew Elementary School,483,2445
Ps 190 Sheffield,484,2445
Ps 54 Charles W Leng,485,2445
Bayville Intermediate School,486,2445
George Washington Elementary School,487,2445
Portville Elementary School,488,2445
L Pearl Palmer Elementary School,489,2445
Forest Brook Elementary School,490,2445
Charles Campagne School,491,2445
Ps 264 Bay Ridge Elementary School For The Arts,492,2445
Ps 2 Meyer London,493,2445
Woodside Community School (The),494,2445
Ps 116 Mary Lindley Murray,495,2445
Signal Hill Elementary School,496,2445
Ps 131 Abigail Adams,497,2445
KIPP Infinity Charter School,498,2445
Ps 164 Caesar Rodney,499,2445
Ps 21 Edward Hart,500,2445
Casimir Pulaski School,501,2445
Eggert Road Elementary School,502,2445
Ps 397 Foster-Laurie,503,2445
Bridgehampton School,504,2445
Manorhaven Elementary School,505,2445
Sunquam Elementary School,506,2445
Hughes Elementary School,507,2445
Newbridge Road School,508,2445
Ps 241 Emma L Johnston,509,2445
Ps 100 Coney Island School (The),510,2445
Errick Road Elementary School,511,2445
Ps 132 Ralph Bunche,512,2445
Michael F Stokes School,513,2445
Ps 192 Jacob H Schiff,514,2445
Academy Street Elementary School,515,2445
Ps/Middle School 114 Belle Harbor,516,2445
Gayhead School,517,2445
Fonda-Fultonville K-4 School,518,2445
Indian Landing Elementary School,519,2445
KIPP Star College Prep Charter School,520,2445
Ps 84 Steinway,521,2445
Ps 204 Vince Lombardi,522,2445
Ps 84 Lillian Weber,523,2445
Lynnwood Elementary School,524,2445
Ps 31 Bayside,525,2445
Ocean Avenue School,526,2445
Cherry Avenue Elementary School,527,2445
Plaza Elementary School,528,2445
Chancellor Livingston Elementary School,529,2445
Albany School Of Humanities,530,2445
Cobbles Elementary School,531,2445
Ps 47 Chris Galas,532,2445
Ps 234,533,2445
Brooklyn Arbor Elementary School,534,2445
Ps 65 Academy Of Innovative Learning (The),535,2445
Arongen Elementary School,536,2445
Ps/Is 295,537,2445
South Bronx Charter School,538,2445
Ps 22 Thomas Jefferson,539,2445
School 8,540,2445
Elm Community Charter School,541,2445
Ellicottville Elementary School,542,2445
William Rall School,543,2445
Ps 65,544,2445
Kinry Road Elementary School,545,2445
Carrie E Tompkins School,546,2445
Hamilton Elementary School,547,2445
Glendaal School,548,2445
Ps 277 Gerritsen Beach,549,2445
Lawrence Avenue Elementary School,550,2445
Lockhart Elementary School,551,2445
Thomas Jefferson Elementary School,552,2445
Ps 208 Elsa Ebeling,553,2445
Bashaw Elementary School,554,2445
Ps 108 Sal Abbracciamento,555,2445
Ps 97 Highlawn (The),556,2445
Ps 108 Captain Vincent G Fowler,557,2445
Icahn Charter School 7,558,2445
Ps 38 Rosedale,559,2445
John Pearl Elementary School,560,2445
Ampark Neighborhood,561,2445
Edward J Bosti Elementary School,562,2445
Malta Avenue Elementary School,563,2445
Ps 139 Rego Park,564,2445
Pembroke Intermediate School,565,2445
New City Elementary School,566,2445
Ps 212,567,2445
Lincoln Titus Elementary School,568,2445
Waterside Children's Studio School,569,2445
Forest Lake School,570,2445
Ps 169 Bay Terrace,571,2445
Akron Elementary School,572,2445
Ps 213 Carl Ullman School (The),573,2445
New Visions Elementary School,574,2445
Fresh Creek School (The),575,2445
Greenfield Elementary School,576,2445
Castle Bridge School,577,2445
Staten Island School Of Civic Leadership,578,2445
Space Shuttle Columbia School,579,2445
Belfast School,580,2445
Kendall Elementary School,581,2445
Franklin Avenue School,582,2445
Big Tree Elementary School,583,2445
Homer Brink School,584,2445
Hamagrael Elementary School,585,2445
Dream Charter School East Harlem,586,2445
Pashley Elementary School,587,2445
Ps 19 Judith K Weiss,588,2445
Copenhagen Central School,589,2445
Lincoln School,590,2445
Ps 33 Chelsea Prep,591,2445
Hampton Bays Elementary School,592,2445
Ps 83 Luis Munoz Rivera,593,2445
Ps 36 J C Drumgoole,594,2445
Rouses Point Elementary School,595,2445
Maine Memorial School,596,2445
Ps/Is 104 Fort Hamilton School (The),597,2445
Allegany-Limestone Elementary School,598,2445
Milton Fein School,599,2445
Alden Terrace School,600,2445
Brewerton Elementary School,601,2445
A F Palmer Elementary School / Windsor Central Middle School,602,2445
Ogden Elementary School,603,2445
Joseph Henry Elementary School,604,2445
Nuasin Next Generation Charter School,605,2445
Ps 251,606,2445
Parsons Memorial School,607,2445
School 9e-Boardman Elementary School,608,2445
Iroquois Middle School,609,2445
E A McAllister Elementary School,610,2445
Explore Charter School,611,2445
Genesee Valley Central School,612,2445
Ps 133 William A Butler,613,2445
Apalachin Elementary School,614,2445
Alfred-Almond Elementary School,615,2445
Caroline Street Elementary School,616,2445
John G Dinkelmeyer School,617,2445
Mills Pond Elementary School,618,2445
Northville Elementary School,619,2445
Hewlett Elementary School,620,2445
Blue Point Elementary School,621,2445
Abbey Lane School,622,2445
Ps 95 Gravesend (The),623,2445
Gotham Avenue School,624,2445
Saddlewood Elementary School,625,2445
State Street Intermediate School,626,2445
Harlem Children's Zone Promise Academy Charter School,627,2445
Klem Road North Elementary School,628,2445
Emma E Sherman Elementary School,629,2445
Ps 304 Early Childhood School,630,2445
Our World Neighborhood Charter School,631,2445
William Sidney Mount Elementary School,632,2445
Marcy Elementary School,633,2445
William Street School,634,2445
Dream Charter School Mott Haven,635,2445
Ps 39 Francis J Murphy Junior,636,2445
Pequenakonck Elementary School,637,2445
Fishkill Elementary School,638,2445
Okte Elementary School,639,2445
Oak Grove Elementary School,640,2445
Martin Avenue Elementary School,641,2445
Shaw Avenue School,642,2445
Ps 212 Midtown West,643,2445
Mary K Vollmer Elementary School,644,2445
Ps 55 Maure,645,2445
Andrew J Smith Elementary School,646,2445
Ps 66 School Of Higher Expectations,647,2445
Kahlil Gibran School,648,2445
Ps 207 Rockwood Park,649,2445
Panama K-6 School,650,2445
Thomas J Lahey Elementary School,651,2445
Uncommon Kings Charter School Nyc,652,2445
Beginning With Children Charter School II,653,2445
Ps 204 Morris Heights,654,2445
Uncommon Excellence Girls Charter School Nyc,655,2445
Fillmore Central School,656,2445
Woodward Parkway Elementary School,657,2445
Ps 123,658,2445
Park Avenue School,659,2445
Westmere Elementary School,660,2445
Ps 26 Rufus King,661,2445
Lincoln School,662,2445
Northside School,663,2445
Bayview Avenue School,664,2445
Ps/Is 113 Anthony J Pranzo,665,2445
Dutch Broadway School,666,2445
F S Banford Elementary School,667,2445
Amagansett School,668,2445
Fishkill Plains Elementary School,669,2445
Ps 152 Gwendoline N Alleyne School,670,2445
Mill Road-Elementary School,671,2445
School 5,672,2445
Mae E Reynolds School,673,2445
Cooperstown Elementary School,674,2445
Windom Elementary School,675,2445
Unqua Elementary School,676,2445
Robert W Carbonaro School,677,2445
Ps 295,678,2445
Donald P Sutherland School,679,2445
Erwin Valley Elementary School,680,2445
