School Name,State Rank,Total Schools
Tuckahoe Middle School,310,1504
Brooklyn Science And Engineering Academy,311,1504
Voorheesville Middle School,312,1504
McGraw Secondary School,313,1504
Junior High School 194 William Carr,314,1504
Greenwood Lake Middle School,315,1504
Ps 95 Gravesend (The),316,1504
Commack Middle School,317,1504
Cazenovia Middle School,318,1504
Ps 175 City Island,319,1504
Springs School,320,1504
Queensbury Middle School,321,1504
Oyster Bay Middle School,322,1504
Gardner-Dickinson School,323,1504
East Northport Middle School,324,1504
Uncommon Brownsville North Charter School Nyc,325,1504
New York French-American Charter School,326,1504
Camillus Middle School,327,1504
Tioga Middle School,328,1504
Wheatley School,329,1504
Maple Hill Junior/Senior High School,330,1504
Achievement First Endeavor Charter School,331,1504
Spry Middle School,332,1504
Warwick Valley Middle School,333,1504
Orville A Todd Middle School,334,1504
Ps/Is 208,335,1504
Nesaquake Middle School,336,1504
Is 281 Joseph B Cavallaro,337,1504
Ps 207 Elizabeth G Leary,338,1504
Eden Middle & High School,339,1504
Is 181 Pablo Casals,340,1504
Copenhagen Central School,341,1504
Ps/Is 295,342,1504
Traphagen School,343,1504
Seaford Middle School,344,1504
South Side Middle School,345,1504
East Moriches School,346,1504
Sackets Harbor Central School,347,1504
Westhampton Middle School,348,1504
Sayville Middle School,349,1504
Is 141 Steinway (The),350,1504
Mattituck Junior-Senior High School,351,1504
Fox Lane Middle School,352,1504
Achievement First Voyager Charter School,353,1504
Albert G Prodell Middle School,354,1504
Fillmore Central School,355,1504
Great Hollow Middle School,356,1504
Uncommon Williamsburg Charter School Nyc,357,1504
Middle School 101 Edward R Byrne,358,1504
Island Trees Middle School,359,1504
Millbrook Middle School,360,1504
Donald H Crane Junior/Senior High School,361,1504
James Wilson Young Middle School,362,1504
Achievement First Aspire Charter School,363,1504
Greenwich Junior-Senior High School,364,1504
Weedsport Junior-Senior High School,365,1504
Clarke Middle School,366,1504
Chautauqua Lake Secondary School,367,1504
Hauppauge Middle School,368,1504
Bradford Central School,369,1504
William T Rogers Middle School,370,1504
Canarsie Ascend Charter School,371,1504
Bronx Charter School For The Arts,372,1504
Preparatory Academy For Writers: A College Board School,373,1504
Junior High School 223 Montauk (The),374,1504
Oakfield-Alabama Middle School High School,375,1504
Canisteo-Greenwood High School,376,1504
Salem High School,377,1504
KIPP Nyc Washington Heights Academy Charter School,378,1504
Pave Academy Charter School,379,1504
Bolton Central School,380,1504
Junior High School 190 Russell Sage,381,1504
Is 10 Horace Greeley,382,1504
Brooklyn Ascend Charter School,383,1504
Woodmere Middle School,384,1504
Lisbon Central School,385,1504
Marion Junior-Senior High School,386,1504
Girls Preparatory Charter School Of The Bronx,387,1504
Middle School 839,388,1504
Portville Junior-Senior High School,389,1504
Middle School 890,390,1504
Junior High School 227 Edward B Shallow,391,1504
Is 318 Eugenio Maria De Hostos,392,1504
Galway Junior/Senior High School,393,1504
Ps 209 Margaret Mead,394,1504
Robert Cushman Murphy Junior High School,395,1504
Hammond Central School,396,1504
Ps 121 Nelson A Rockefeller,397,1504
Uncommon Excellence Girls Charter School Nyc,398,1504
Algonquin Middle School,399,1504
Ps/Is 178 Holliswood,400,1504
Conselyea Preparatory School,401,1504
Girls Preparatory Charter School Of New York,402,1504
Garrison School,403,1504
Stissing Mountain Junior/Senior High School,404,1504
H Frank Carey High School,405,1504
Rochdale Early Advantage Charter School,406,1504
Wayne Central Middle School,407,1504
Marathon High School,408,1504
Germantown Junior-Senior High School,409,1504
Renaissance Charter School,410,1504
Montauk School,411,1504
Atmosphere Academy Public Charter School,412,1504
North Warren Central School,413,1504
KIPP Bronx Charter School III,414,1504
Hamilton Junior-Senior High School,415,1504
Laboratory School Of Finance And Technology (The): X223,416,1504
Ps 71 Rose E Scala,417,1504
Whitesboro Middle School,418,1504
Michael J Petrides School (The),419,1504
Junior High School 88 Peter Rouget,420,1504
Ps 138,421,1504
Fonda-Fultonville 5-8 School,422,1504
Southold Junior-Senior High School,423,1504
Onondaga Hill Middle School,424,1504
L A Webber Middle-High School,425,1504
Floral Park Memorial High School,426,1504
Science And Technology Academy: A Mott Hall School,427,1504
Ps 192 Magnet School For Math And Science Inquiry (The),428,1504
Global Community Charter School,429,1504
Brownsville Collaborative Middle School,430,1504
North Salem Middle School/High School,431,1504
Albert Shanker School For Visual And Performing Arts,432,1504
KIPP Freedom Charter School,433,1504
Valley Stream South High School,434,1504
Ps/Is 104 Fort Hamilton School (The),435,1504
Lehman Alternative Community School,436,1504
Kendall Junior-Senior High School,437,1504
47 American Sign Language And English Lower School (The),438,1504
La Fargeville Central School,439,1504
Chateaugay High School,440,1504
Albert Leonard Middle School,441,1504
Remsen Junior-Senior High School,442,1504
A F Palmer Elementary School / Windsor Central Middle School,443,1504
Duanesburg High School,444,1504
Urban Institute Of Mathematics,445,1504
Ichabod Crane Middle School,446,1504
Sullivan West High School At Lake Huntington,447,1504
Canaseraga School,448,1504
Ps 189 Bilingual Center (The),449,1504
Achievement First Crown Heights Charter School,450,1504
Scotia-Glenville Middle School,451,1504
East Hampton Middle School,452,1504
Hartford Middle/High School,453,1504
Voice Charter School Of New York,454,1504
Lowville Middle School,455,1504
Van Wyck Junior High School,456,1504
Pearl River High School,457,1504
Canandaigua Middle School,458,1504
Unatego Middle School,459,1504
Cato-Meridian Junior-Senior High School,460,1504
Bloomfield Middle School,461,1504
Lakeland-Copper Beech Middle School,462,1504
Imagine Me Leadership Charter School,463,1504
Hammondsport Junior-Senior High School,464,1504
Campbell-Savona Junior/Senior High School,465,1504
Ps 333 Manhattan School For Children,466,1504
Bridgehampton School,467,1504
General Brown Junior-Senior High School,468,1504
Ps/Is 87 Middle Village,469,1504
Cambridge Junior-Senior High School,470,1504
Achievement First Apollo Charter School,471,1504
Dewitt Middle School,472,1504
Schuylerville Middle School,473,1504
Ps/Middle School 498 Van Nest Academy,474,1504
Glens Falls Middle School,475,1504
Mineola Middle School,476,1504
School 9m-Oceanside Middle School,477,1504
Gillette Road Middle School,478,1504
Is 392,479,1504
Oakdale-Bohemia Middle School,480,1504
Riverdale/Kingsbridge Academy (Ms/High School 141),481,1504
