School Name,State Rank,Total Schools
S S Seward Institute,391,1242
Livonia Middle/High School,392,1242
Waterville Junior/Senior High School,393,1242
Art And Design High School,394,1242
Westhill High School,395,1242
Jordan-Elbridge High School,396,1242
Southold Junior-Senior High School,397,1242
Suffern Senior High School,398,1242
Gouverneur High School,399,1242
South Glens Falls Senior High School,400,1242
Academy Of Finance And Enterprise,401,1242
Homer Senior High School,402,1242
Minisink Valley High School,403,1242
Centereach High School,404,1242
Cuba-Rushford High School,405,1242
Newark Valley Senior High School,406,1242
Saranac Lake Senior High School,407,1242
Kenmore East Senior High School,408,1242
Downsville Central School,409,1242
Dansville High School,410,1242
Spencerport High School,411,1242
Romulus Central School,412,1242
Central Park East High School,413,1242
Ruben A Cirillo High School,414,1242
Duanesburg High School,415,1242
Galway Junior/Senior High School,416,1242
Forestville Central High School,417,1242
Bridgehampton School,418,1242
Stockbridge Valley Central School,419,1242
Unadilla Valley Secondary School,420,1242
Deer Park High School,421,1242
Malverne Senior High School,422,1242
Cherry Valley-Springfield Central School,423,1242
Brooklyn College Academy,424,1242
John Jay Senior High School,425,1242
Middleburgh Junior/Senior High School,426,1242
Mount Markham Senior High School,427,1242
Argyle Junior/Senior High School,428,1242
Brookfield Central School,429,1242
Tamarac Middle School High School,430,1242
Tri-Valley Secondary School,431,1242
Heuvelton Central School,432,1242
Mynderse Academy,433,1242
Candor Junior-Senior High School,434,1242
Owen D Young Central School,435,1242
East Rockaway Junior-Senior High School,436,1242
Queens Gateway To Health Sciences Secondary School,437,1242
High School-Construction Trades Engineering & Architecture,438,1242
Sachem High School North,439,1242
Roscoe Central School,440,1242
Thomas A Edison High School,441,1242
Baldwin Senior High School,442,1242
Fabius-Pompey Middle School High School,443,1242
Berne-Knox-Westerlo Junior-Senior High School,444,1242
New Lebanon Junior-Senior High School,445,1242
Midwood High School,446,1242
Clymer Central School,447,1242
Islip High School,448,1242
Charles D'Amico High School,449,1242
Frank Sinatra School Of The Arts High School,450,1242
Newfield Senior High School,451,1242
South Bronx Preparatory - A College Board School,452,1242
Hendrick Hudson High School,453,1242
Park East High School,454,1242
Liverpool High School,455,1242
Farmingdale Senior High School,456,1242
Brockport High School,457,1242
Vernon-Verona-Sherrill Senior High School,458,1242
West End Secondary School,459,1242
Spencer-Van Etten High School,460,1242
Parishville-Hopkinton Junior-Senior High School,461,1242
Kenmore West Senior High School,462,1242
Professional Performing Arts High School,463,1242
Averill Park High School,464,1242
Plattsburgh Senior High School,465,1242
Wayne Senior High School,466,1242
West Seneca West Senior High School,467,1242
York Middle/High School,468,1242
Washingtonville Senior High School,469,1242
Leon M Goldstein High School For The Sciences,470,1242
Northeastern Clinton Senior High School,471,1242
Rush-Henrietta Senior High School,472,1242
Medina Junior-Senior High School,473,1242
Harvey Milk High School,474,1242
Chester Academy-Middle/High School,475,1242
Comsewogue High School,476,1242
Elba Junior-Senior High School,477,1242
Glens Falls Senior High School,478,1242
North Tonawanda High School,479,1242
Peru High School,480,1242
East Rochester Junior-Senior High School,481,1242
Midlakes Middle/High School,482,1242
Canastota High School,483,1242
Bay Shore Senior High School,484,1242
South Lewis High School,485,1242
Cleveland Hill High School,486,1242
West Hempstead Secondary School,487,1242
Kingsborough Early College School,488,1242
Hoosic Valley Junior Senior High School,489,1242
Shelter Island School,490,1242
Cassadaga Valley Middle/High School,491,1242
KIPP Academy Charter School,492,1242
Academy Of American Studies,493,1242
Newfield High School,494,1242
Patchogue-Medford High School,495,1242
Hoosick Falls High School,496,1242
Odessa-Montour Junior/Senior High School,497,1242
East Hampton High School,498,1242
Belleville Henderson Central School,499,1242
Wayland-Cohocton High School,500,1242
North Rockland High School,501,1242
James A Green Junior-Senior High School,502,1242
Corinth High School,503,1242
Pine Valley Central Junior-Senior High School,504,1242
Adirondack High School,505,1242
Northern Adirondack Middle/High School,506,1242
Cobleskill-Richmondville High School,507,1242
Haverling Senior High School,508,1242
Dryden High School,509,1242
East-West School Of International Studies,510,1242
James I O'Neill High School,511,1242
Greenville High School,512,1242
Wellsville Secondary School,513,1242
Mechanicville Junior/Senior High School,514,1242
Cato-Meridian Junior-Senior High School,515,1242
Falconer Middle/High School,516,1242
Lindenhurst Senior High School,517,1242
Sherburne-Earlville Senior High School,518,1242
West Seneca East Senior High School,519,1242
Johnstown High School,520,1242
Camden Senior High School,521,1242
Paul V Moore High School,522,1242
Sleepy Hollow High School,523,1242
Union-Endicott High School,524,1242
Unatego Junior-Senior High School,525,1242
Olean Senior High School,526,1242
Center Moriches High School,527,1242
East Syracuse Minoa Central High School,528,1242
New York Mills School,529,1242
Cortland High School,530,1242
Mineola High School,531,1242
Campbell-Savona Junior/Senior High School,532,1242
Granville Junior-Senior High School,533,1242
North Warren Central School,534,1242
Richfield Springs Junior/Senior High School,535,1242
Canajoharie Senior High School,536,1242
Lake Shore Senior High School,537,1242
Urban Assembly New York Harbor School,538,1242
Indian Lake Central School,539,1242
Williamson Senior High School,540,1242
Port Chester Senior High School,541,1242
Yonkers High School,542,1242
Pulaski Middle-High School,543,1242
Dundee Junior-Senior High School,544,1242
Schenevus Central School,545,1242
La Fayette Junior-Senior High School,546,1242
Thomas A Edison Career And Technical Education High School,547,1242
Buffalo Academy Of Science Charter School,548,1242
Norwood-Norfolk School,549,1242
Scio Central School,550,1242
Highland High School,551,1242
Southampton High School,552,1242
Longwood High School,553,1242
Queens High School For Language Studies,554,1242
Oneida Senior High School,555,1242
Mountain View Campus,556,1242
University Neighborhood High School,557,1242
Ravena-Coeymans-Selkirk Senior High School,558,1242
Sweet Home Senior High School,559,1242
Maryvale High School,560,1242
Cairo-Durham High School,561,1242
KIPP Infinity Charter School,562,1242
Auburn High School,563,1242
Dover High School,564,1242
Hampton Bays High School,565,1242
Harpursville Junior-Senior High School,566,1242
New Roots Charter School,567,1242
Corning-Painted Post High School,568,1242
Science Technology & Research Early College,569,1242
Mohonasen Senior High School,570,1242
Addison Middle/High School,571,1242
Port Jervis Senior High School,572,1242
Fort Edward School,573,1242
Elmont Memorial High School,574,1242
Fort Plain Junior-Senior High School,575,1242
Hancock Junior-Senior High School,576,1242
West Babylon Senior High School,577,1242
Gilboa-Conesville Central School,578,1242
Livingston Manor High School,579,1242
Waverly High School,580,1242
Newcomb Central School,581,1242
Harlem Children's Zone Promise Academy Charter School,582,1242
Queens Metropolitan High School,583,1242
Carthage Senior High School,584,1242
Ausable Valley High School,585,1242
Taconic Hillsjunior/Senior High School,586,1242
Norwich High School,587,1242
West Brooklyn Community High School,588,1242
Mexico High School,589,1242
Warrensburg Junior-Senior High School,590,1242
Whitney Point Senior High School,591,1242
John C Birdlebough High School,592,1242
Red Creek High School,593,1242
Groton Junior/Senior High School,594,1242
Schroon Lake Central School,595,1242
Gaynor McCown Expeditionary Learning School,596,1242
Oppenheim-Ephratah-St Johnsville Junior/Senior High School,597,1242
Science Skills Center High School,598,1242
Laurens Central School,599,1242
Benjamin Banneker Academy,600,1242
Urban Assembly School For Law And Justice (The),601,1242
North Babylon High School,602,1242
Roy C Ketcham Senior High School,603,1242
Gilbertsville-Mount Upton Junior-Senior High School,604,1242
Silver Creek High School,605,1242
Williamsburg High School For Architecture And Design,606,1242
Schoharie High School,607,1242
Little Falls High School,608,1242
West Canada Valley Junior-Senior High School,609,1242
Hicksville High School,610,1242
White Plains Senior High School,611,1242
Stamford Central School,612,1242
Coxsackie-Athens High School,613,1242
Medgar Evers College Preparatory School,614,1242
Wells School,615,1242
Brushton-Moira High School,616,1242
Walton High School,617,1242
Murray Hill Academy,618,1242
Hermon-Dekalb Central School,619,1242
John F Kennedy Senior High School,620,1242
Brewster High School,621,1242
Kingston High School,622,1242
Otselic Valley Central School,623,1242
Northville High School,624,1242
Port Byron Senior High School,625,1242
Brooklyn School For Math And Research (The),626,1242
Gates Chili High School,627,1242
Sewanhaka High School,628,1242
Middletown High School,629,1242
Riverhead Charter School,630,1242
Saunders Trades & Technical High School,631,1242
Herkimer High School,632,1242
Crown Point Central School,633,1242
All City Leadership Secondary School,634,1242
Dalton-Nunda Secondary School,635,1242
Berlin Middle School/High School,636,1242
Andes Central School,637,1242
Harlem Village Academy North Charter School,638,1242
Watertown Senior High School,639,1242
Health Arts Robotics And Technology High School,640,1242
Johnson City Senior High School,641,1242
Watkins Glen Central High School,642,1242
Preparatory Academy For Writers: A College Board School,643,1242
Susan E Wagner High School,644,1242
G Ray Bodley High School,645,1242
Renaissance Charter School,646,1242
Bronx Center For Science And Mathematics,647,1242
Bolivar-Richburg Junior-Senior High School,648,1242
Beacon High School,649,1242
Oswego High School,650,1242
Franklin Central School,651,1242
Lower East Side Preparatory High School,652,1242
Central Valley Academy,653,1242
Unity Center For Urban Technologies,654,1242
Manhattan Comprehensive Night And Day High School,655,1242
Sharon Springs Central School,656,1242
Academy Charter School,657,1242
Eastridge Senior High School,658,1242
Fort Hamilton High School,659,1242
High School Of Economics & Finance,660,1242
Charlotte Valley School,661,1242
Castleton Academy High School Of Oceanside,662,1242
Saint Lawrence High School,663,1242
Massena Senior High School,664,1242
James Madison High School,665,1242
Lansingburgh Senior High School,666,1242
Manhattan Bridges High School,667,1242
Gramercy Arts High School,668,1242
Hostos-Lincoln Academy Of Science,669,1242
Bayside High School,670,1242
Talent Unlimited High School,671,1242
New Rochelle High School,672,1242
Urban Assembly Charter School For Computer Science,673,1242
Red Jacket High School,674,1242
Marble Hill High School Of International Studies,675,1242
West Valley Central School,676,1242
Woodlands Middle/High School,677,1242
Holley Junior Senior High School,678,1242
Riverdale/Kingsbridge Academy (Ms/High School 141),679,1242
Ticonderoga Junior-Senior High School,680,1242
Richard R Green High School Of Teaching,681,1242
Benjamin Franklin High School-Fin Info Technical,682,1242
Wheatland-Chili High School,683,1242
Greenport High School,684,1242
Eldred Junior-Senior High School,685,1242
Benjamin N Cardozo High School,686,1242
World Journalism Preparatory: A College Board School,687,1242
Young Women's Leadership School,688,1242
York Early College Academy,689,1242
Frederick Olmsted #156,690,1242
Bronx Health Sciences High School,691,1242
Digital Arts And Cinema Technology High School,692,1242
Brentwood High School,693,1242
Moriah Junior-Senior High School,694,1242
Young Women's Leadership School-Queens,695,1242
Yonkers Montessori Academy,696,1242
Maspeth High School,697,1242
Jamestown High School,698,1242
A Philip Randolph Campus High School,699,1242
Mount Morris Middle/Senior High School,700,1242
Franklin D Roosevelt Senior High School,701,1242
Harlem Village Academy East Charter School,702,1242
Whitesville Central School,703,1242
Young Women's Leadership School Of The Bronx,704,1242
Franklin Academy High School,705,1242
High School For Arts And Business,706,1242
Tottenville High School,707,1242
Madison Central School,708,1242
High School For Health Professions & Human Services,709,1242
Solvay High School,710,1242
Forest Hills High School,711,1242
Tupper Lake Middle-High School,712,1242
Academy For Language And Technology,713,1242
Urban Assembly Gateway School For Technology,714,1242
Rondout Valley High School,715,1242
Hutchinson Central Technical High School,716,1242
Tonawanda Middle/High School,717,1242
City College Academy Of The Arts,718,1242
Brocton Middle High School,719,1242
Utica Academy Of Science Charter School,720,1242
Troy High School,721,1242
Olympus Academy,722,1242
Brooklyn High School Of The Arts,723,1242
Jamaica Gateway To The Sciences,724,1242
William Floyd High School,725,1242
High School For Environmental Studies,726,1242
Afton Junior/Senior High School,727,1242
Huntington High School,728,1242
Rome Free Academy,729,1242
Edward R Murrow High School,730,1242
Walter G O'Connell Copiague High School,731,1242
Renaissance High School For Musical Theater And The Arts,732,1242
Rachel Carson High School For Coastal Studies,733,1242
New Utrecht High School,734,1242
Lockport High School,735,1242
Whitehall Junior-Senior High School,736,1242
Deruyter High School,737,1242
Rebecca Turner Academy,738,1242
Manhattan Early College School For Advertising,739,1242
Bronx River High School,740,1242
Orchard Collegiate Academy,741,1242
Cohoes High School,742,1242
Athena High School,743,1242
Robert H Goddard High School-Community/Technical,744,1242
Pathways College Preparatory School: A College Board School,745,1242
Institute Of Technology At Syracuse Central,746,1242
University Prep Charter High School,747,1242
Sodus Junior/Senior High School,748,1242
Andover School,749,1242
Young Womens Leadership School - Astoria,750,1242
South Seneca Middle/High School,751,1242
Hudson High School,752,1242
Discovery High School,753,1242
Salamanca High School,754,1242
North Rose-Wolcott High School,755,1242
Olympia High School,756,1242
John Adams High School,757,1242
Dr Richard Izquierdo Health And Science Charter School,758,1242
Pan American International High School At Monroe,759,1242
Williamsburg Preparatory School,760,1242
Uniondale High School,761,1242
High School Of Fashion Industries (The),762,1242
Metropolitan Expeditionary Learning School,763,1242
Ossining High School,764,1242
Westbury High School,765,1242
Excelsior Preparatory High School,766,1242
New Dorp High School,767,1242
Dewitt Clinton High School,768,1242
Altmar-Parish-Williamstown Junior/Senior High School,769,1242
Business Technology Early College High School,770,1242
Brooklyn Studio Secondary School,771,1242
Rensselaer Junior/Senior High School,772,1242
Ellenville Junior/Senior High School,773,1242
Information Technology High School,774,1242
Celia Cruz Bronx High School Of Music (The),775,1242
John Dewey High School,776,1242
Freeport High School,777,1242
Queens Technical High School,778,1242
Veritas Academy,779,1242
Frank McCourt High School,780,1242
Waterloo High School,781,1242
Metropolitan Diploma Plus High School,782,1242
Mount Vernon Steam Academy,783,1242
Thomas R Proctor High School,784,1242
Math/Science Research/Technical Magnet,785,1242
Michael J Petrides School (The),786,1242
Morris Academy For Collaborative Studies,787,1242
Cheektowaga High School,788,1242
Robert F Wagner Junior Secondary School For Arts And Technology,789,1242
Glen Cove High School,790,1242
United Charter High School For Advanced Math And Science II,791,1242
Urban Assembly School For Leadership And Empowerment,792,1242
Central Islip Senior High School,793,1242
Flushing International High School,794,1242
Comprehensive Model School Project Middle School 327,795,1242
Coney Island Preparatory Public Charter School,796,1242
International School For Liberal Arts,797,1242
Hudson Falls High School,798,1242
Collegiate Institute For Math And Science,799,1242
Clifton-Fine Junior-Senior High School,800,1242
Batavia High School,801,1242
High School Of World Cultures,802,1242
Franklin Delano Roosevelt High School,803,1242
Millenium Art Academy,804,1242
Urban Assembly Academy Of Government And Law,805,1242
Gloversville High School,806,1242
Mott Hall Bronx High School,807,1242
Elmira High School,808,1242
Boerum Hill School For International Studies (The),809,1242
School Of The Arts,810,1242
Bronx High School For Writing And Communication Arts,811,1242
Newark Senior High School,812,1242
Liberty High School,813,1242
Webutuck High School,814,1242
Buffalo Academy For The Visual & Performing Arts,815,1242
Monticello High School,816,1242
Repertory Company High School For Theatre Arts,817,1242
Chelsea Career And Technical Education High School,818,1242
High School Of Computers And Technology,819,1242
Lyons Senior High School,820,1242
Academy Charter School-Uniondale,821,1242
Lewis J Bennett High School Of Innovative Technolgy,822,1242
Arcadia High School,823,1242
Energy Technical High School,824,1242
Queens Collegiate - A College Board School,825,1242
Riverhead Senior High School,826,1242
Brooklyn Academy Of Science And The Environment,827,1242
Roosevelt High School - Early College Studies,828,1242
Queens Academy High School,829,1242
New Ventures Charter School,830,1242
Manhattan Business Academy,831,1242
Bronx Preparatory Charter School,832,1242
Achievement First East New York Charter School,833,1242
Robert F Kennedy Community High School,834,1242
Alexander Hamilton High School,835,1242
Early College Charter School,836,1242
John Bowne High School,837,1242
Eagle Academy For Young Men II,838,1242
Abraham Lincoln High School,839,1242
Denzel Washington School-Arts,840,1242
Harry S Truman High School,841,1242
Charter School For Applied Technologies,842,1242
